Name,Author,Genre,Year,Language,Total Pages,Read
Записки изъ подполья (Notes from Underground),Фёдор Михайлович Достоевский (Fyodor Dostoevsky),Existentialist Fiction,1864,English,,FALSE
Brave New World,Aldous Huxley,"Dystopian, Satire",1932,English,206,FALSE
Fahrenheit 451,Ray Bradbury,"Dystopian, Social Sci-Fi",1953,English,189,FALSE
A Wizard of Earthsea,Ursula K. Le Guin,High Fantasy,1968,English,201,FALSE
"Women, Race & Class (Donne, razza e colore)",Angela Davis,"Feminist Theory, Sociology",1981,Italian,,FALSE
The Meaning of It All,Richard P. Feynman,Philosophy of Science,1998,English,123,FALSE
旅猫リポート (The Travelling Cat Chronicles),有川 浩 (Hiro Arikawa),Contemporary Fiction,2012,English,204,FALSE
The Storied Life of A.J. Fikry,Gabrielle Zevin,Contemporary Fiction,2014,English,202,FALSE
소년이 온다 (Human Acts),한강 (Han Kang),Historical Fiction,2014,English,240,FALSE
Our mathematical universe,Max Tegmark,"Cosmology, Physics",2014,English,398,FALSE
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Ethics, AI Philosophy",2014,English,,FALSE
The Science of Interstellar (Viaggiare nello spaziotempo),Kip Thorne,Astrophysics,2015,Italian,,FALSE
Hunger,Roxane Gay,"Memoir, Cultural Criticism",2017,English,226,FALSE
Invisible women,Caroline Criado Perez,"Data Bias, Sociology",2019,English,,FALSE
Artificial Intelligence: A guide for Thinking Humans,Melanie Mitchell,"Tech, Computer Science",2019,English,,FALSE
The New Breed: How to Think About Robots,Kate Darling,"Robotics, Sociology",2021,English,,FALSE
L'ordine del tempo,Carlo Rovelli,Theoretical Physics,2017,Italian,,FALSE
The book Thief,Marcus Zusak,Historical Fiction,2005,English,,FALSE
This Is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone","Sci-Fi, epistolary Romance",2019,English,,FALSE
A Little Life,Hanya Yanagihara,Literary Fiction,2015,English,,FALSE
저주토끼 (Cursed Bunny),정보라 (Bora Chung),Horror,2017,English,,FALSE
Pedro Páramo,Juan Rulfo,"Magical Realism, Gothic",1956,Spanish,,FALSE
Memoria de mis putas tristes,Gabriel García Márquez,Literary Fiction,2004,Spanish,,FALSE
Artemis,Andy Weir,"Sci-Fi, Heist",2017,English,,FALSE
A short history of nearly everything,Bill Bryson,Popular Science,2006,English,,FALSE
Snow crash,Neal Stephenson,"Post-Cyberpunk, Cyberpunk",1992,English,604,FALSE
The Three-Body Problem Trilogy,Cixin Liu,"Hard Sci-Fi, Space Opera",2006,English,1400,FALSE
Yesteryear,Caro Claire Burke,Historical Fantasy,2026,English,400,FALSE
Mistborn,Brandon Sanderson,"Epic Fantasy, Heist",2006,English,650,FALSE